Basic Logistics increases your hero's movement points by 10 percent.	초급 병참술은 영웅의 이동력을 10% 늘립니다.
Advanced Logistics increases your hero's movement points by 20 percent.	중급 병참술은 영웅의 이동력을 20% 늘립니다.
Expert Logistics increases your hero's movement points by 30 percent.	고급 병참술은 영웅의 이동력을 30% 늘립니다.
Basic Scouting increases your hero's viewable area by 1 square.	초급 정찰은 영웅의 시야를 1칸 넓힙니다.
Advanced Scouting increases your hero's viewable area by 2 squares.	중급 정찰은 영웅의 시야를 2칸 넓힙니다.
Expert Scouting increases your hero's viewable area by 3 squares.	고급 정찰은 영웅의 시야를 3칸 넓힙니다.
Basic Diplomacy allows you to negotiate with monsters who are weaker than your group.  Approximately 1/4 of the creatures may offer to join you.	초급 외교는 아군보다 약한 몬스터와 협상할 수 있게 합니다. 약 1/4이 합류할 수 있습니다.
Advanced Diplomacy allows you to negotiate with monsters who are weaker than your group.  Approximately 1/2 of the creatures may offer to join you.	중급 외교는 아군보다 약한 몬스터와 협상할 수 있게 합니다. 약 1/2이 합류할 수 있습니다.
Expert Diplomacy allows you to negotiate with monsters who are weaker than your group.  All of the creatures may offer to join you.	고급 외교는 아군보다 약한 몬스터와 협상할 수 있게 합니다. 전원이 합류할 수 있습니다.
Basic Navigation increases your hero's movement points over water by 1/3.	초급 항해는 해상 이동력을 1/3 늘립니다.
Advanced Navigation increases your hero's movement points over water by 2/3.	중급 항해는 해상 이동력을 2/3 늘립니다.
Expert Navigation doubles your hero's movement points over water.	고급 항해는 해상 이동력을 두 배로 늘립니다.
Basic Leadership increases your hero's troops' morale by 1.	초급 통솔은 부대 사기를 1 올립니다.
Advanced Leadership increases your hero's troops' morale by 2.	중급 통솔은 부대 사기를 2 올립니다.
Expert Leadership increases your hero's troops' morale by 3.	고급 통솔은 부대 사기를 3 올립니다.
Basic Wisdom allows your hero to learn third level spells.	초급 지혜는 3레벨 주문을 배울 수 있게 합니다.
Advanced Wisdom allows your hero to learn fourth level spells.	중급 지혜는 4레벨 주문을 배울 수 있게 합니다.
Expert Wisdom allows your hero to learn fifth level spells.	고급 지혜는 5레벨 주문을 배울 수 있게 합니다.
Basic Mysticism regenerates two of your hero's spell points per day.	초급 신비술은 하루에 주문 포인트 2를 회복합니다.
Advanced Mysticism regenerates three of your hero's spell points per day.	중급 신비술은 하루에 주문 포인트 3을 회복합니다.
Expert Mysticism regenerates four of your hero's spell points per day.	고급 신비술은 하루에 주문 포인트 4를 회복합니다.
Basic Luck increases your hero's luck by 1.	초급 행운은 영웅의 행운을 1 올립니다.
Advanced Luck increases your hero's luck by 2.	중급 행운은 영웅의 행운을 2 올립니다.
