peasant	농민
peasants	농민들
archer	궁수
archers	궁수들
ranger	명궁
rangers	명궁들
pikeman	창병
pikemen	창병들
veteran pikeman	정예 창병
veteran pikemen	정예 창병들
swordsman	검병
swordsmen	검병들
master swordsman	정예 검병
master swordsmen	정예 검병들
cavalry	기병
cavalries	기병들
champion	용사
champions	용사들
paladin	성기사
paladins	성기사들
crusader	성전사
crusaders	성전사들
goblin	고블린
goblins	고블린
orc	오크
orcs	오크들
orc chief	오크대장
orc chiefs	오크대장들
wolf	늑대
wolves	늑대들
ogre	오거
ogres	오거
ogre lord	오거군주
ogre lords	오거군주들
troll	트롤
trolls	트롤들
war troll	전쟁트롤
war trolls	전쟁트롤들
cyclops	외눈
cyclopes	외눈들
sprite	요정
sprites	요정들
dwarf	드워프
dwarves	드워프
battle dwarf	전투드워프
battle dwarves	전투드워프들
elf	엘프
elves	엘프
grand elf	대엘프
grand elves	대엘프들
druid	드루이드
druids	드루이드들
greater druid	대드루이드
greater druids	대드루이드들
unicorn	유니콘
unicorns	유니콘들
phoenix	피닉스
centaur	켄타우로스
centaurs	켄타우로스들
gargoyle	가고일
gargoyles	가고일들
griffin	그리핀
griffins	그리핀들
minotaur	미노타우로스
minotaurs	미노타우로스들
minotaur king	미노타우로스 왕
minotaur kings	미노타우로스 왕들
hydra	히드라
hydras	히드라들
green dragon	녹룡
red dragon	적룡
black dragon	흑룡
halfling	하플링
halflings	하플링들
boar	멧돼지
boars	멧돼지들
iron golem	철골렘
iron golems	철골렘들
steel golem	강철골렘
steel golems	강철골렘들
roc	로크
rocs	로크들
mage	마법사
magi	마법사들
archmage	대마법사
archmagi	대마법사들
giant	거인
giants	거인들
titan	거신
titans	거신들
skeleton	해골
skeletons	해골들
zombie	좀비
zombies	좀비들
mutant zombie	변이좀비
mutant zombies	변이좀비들
mummy	미라
mummies	미라들
royal mummy	왕미라
royal mummies	왕미라들
vampire	흡혈귀
vampires	흡혈귀들
vampire lord	흡혈군주
vampire lords	흡혈군주들
lich	리치
liches	리치들
power lich	강화리치
power liches	강화리치들
bone dragon	해골용
bone dragons	해골용들
rogue	도적
rogues	도적들
nomad	유목민
nomads	유목민들
ghost	유령
ghosts	유령들
genie	지니
genies	지니들
medusa	메두사
medusas	메두사
earth elemental	대지정령
air elemental	공기정령
fire elemental	불정령
water elemental	물정령
