scene	track	start_ms	end_ms	text	campaign	block	timing_basis_movie	timing_status
0x04	primary_ms	130	7450	모든 불행은 삼 년 전, 늙은 아이언피스트\n왕이 세상을 떠나면서 시작되었다.	succession	intro	INTRO.SMK	voice_aligned
0x04	primary_ms	8590	10630	왕에게는 두 아들이 있었다.	succession	intro	INTRO.SMK	voice_aligned
0x04	primary_ms	11810	15890	롤랜드는 선하고 친절했으며,\n명예를 아는 사람이었다.	succession	intro	INTRO.SMK	voice_aligned
0x04	primary_ms	16510	20390	하지만 아치발드는 달랐다.	succession	intro	INTRO.SMK	voice_aligned
0x04	primary_ms	20550	25630	관례에 따라 왕실 예언자가\n왕위를 이을 자를 골라야 했다.	succession	intro	INTRO.SMK	voice_aligned
0x04	primary_ms	26070	29270	하지만 비극적인 배 사고로 죽고 말았다.	succession	intro	INTRO.SMK	voice_aligned
0x04	primary_ms	30810	33470	뒤를 이은 예언자들도 운이 좋지 않았다.	succession	intro	INTRO.SMK	voice_aligned
0x04	primary_ms	33930	36690	프레더릭은 창밖으로 떨어졌고,	succession	intro	INTRO.SMK	voice_aligned
0x04	primary_ms	37450	39770	로버트는 드래곤에게 죽었으며,	succession	intro	INTRO.SMK	voice_aligned
0x04	primary_ms	40130	43070	요한은 식중독으로 죽었다.	succession	intro	INTRO.SMK	voice_aligned
0x04	primary_ms	44790	48590	아치발드는 롤랜드가 예언자들을 죽였다고	succession	intro	INTRO.SMK	voice_aligned_split
0x04	primary_ms	48590	51950	몰아세우며 그를 수배하는\n포고령을 내렸다.	succession	intro	INTRO.SMK	voice_aligned_split
0x04	primary_ms	52230	57210	목숨을 두려워한 롤랜드는\n서쪽의 자기 성으로 달아났다.	succession	intro	INTRO.SMK	voice_aligned
0x04	primary_ms	58690	61350	롤랜드가 사라지자 아치발드는	succession	intro	INTRO.SMK	voice_aligned_split
0x04	primary_ms	61350	65090	새 왕실 예언자의 결정을\n마음대로 움직일 수 있었다.	succession	intro	INTRO.SMK	voice_aligned_split
0x04	primary_ms	66390	73190	예언자는 아치발드를 택했고, 아치발드는\n다음 날 스스로 왕관을 썼다.	succession	intro	INTRO.SMK	voice_aligned
0x04	primary_ms	74330	77750	그렇게 왕위 계승 전쟁이 시작되었다.	succession	intro	INTRO.SMK	voice_aligned
0x05	secondary_ms	70	1270	충성스러운 신하여,	roland	scenario_1	GOOD01V.SMK	voice_aligned
0x05	secondary_ms	1270	4040	그대의 충성 맹세에 감사하오.\n참으로 마음이 놓이는군.	roland	scenario_1	GOOD01V.SMK	voice_aligned
0x05	secondary_ms	4040	8610	알다시피 사악한 아치발드가 아버지의\n성을 빼앗고 왕좌를 빼앗았소.	roland	scenario_1	GOOD01V.SMK	voice_aligned
0x05	secondary_ms	8650	12250	성 가까이 있는 영주들만\n재빨리 그에게 충성했지만,	roland	scenario_1	GOOD01V.SMK	voice_aligned
0x05	secondary_ms	12250	16610	다른 영주들도 대안이 없다면\n그에게 무릎 꿇을까 두렵소.	roland	scenario_1	GOOD01V.SMK	voice_aligned
0x05	secondary_ms	16810	19560	내가 그 대안이 되어야 하오.	roland	scenario_1	GOOD01V.SMK	voice_aligned_split
0x05	secondary_ms	19560	23770	아버지께 충성했던 영주들과\n싸워야 한다 해도 말이오.	roland	scenario_1	GOOD01V.SMK	voice_aligned_split
0x05	secondary_ms	24010	32230	그러니 무거운 마음으로 여름 궁전 근처의\n영주들을 무력으로 굴복시키라 명하오.	roland	scenario_1	GOOD01V.SMK	voice_aligned
0x05	secondary_ms	32290	37960	우리는 실패할 수 없기에\n임무에 충분한 금을 주었소.	roland	scenario_1	GOOD01V.SMK	voice_aligned
0x05	secondary_ms	37960	43350	전쟁을 함께 이끌 수 있도록\n마법의 부적도 보냈소.	roland	scenario_1	GOOD01V.SMK	voice_aligned
0x05	secondary_ms	43350	46770	언제나 몸에 지니시오.\n그러면 계속 연락할 수 있소.	roland	scenario_1	GOOD01V.SMK	voice_aligned
0x06	secondary_ms	0	1190	훌륭하오!	roland	scenario_2	GOOD02W.SMK	voice_aligned
0x06	secondary_ms	1390	4590	첫 움직임은 완벽한 성공이오.	roland	scenario_2	GOOD02W.SMK	voice_aligned
0x06	secondary_ms	4710	7550	하지만 축하할 시간은 없소.	roland	scenario_2	GOOD02W.SMK	voice_aligned
0x06	secondary_ms	7670	15930	남은 지방 귀족들은 우리의 승리를\n달가워하지 않아 방어 태세를 갖추었소.	roland	scenario_2	GOOD02W.SMK	voice_aligned
0x06	secondary_ms	15930	21020	그 반란을 진압해야 하오.\n하지만 지난 임무에서 모은	roland	scenario_2	GOOD02W.SMK	voice_aligned_split
0x06	secondary_ms	21020	24230	병력은 그 지역을 지켜야 하오.	roland	scenario_2	GOOD02W.SMK	voice_aligned_split
0x06	secondary_ms	24230	28550	임무가 얼마나 중요한지는 다시\n말할 필요도 없을 것이오.	roland	scenario_2	GOOD02W.SMK	voice_aligned
0x06	secondary_ms	28590	34350	아치발드와 싸울 전쟁 자금을\n세금으로 마련해야 하오.	roland	scenario_2	GOOD02W.SMK	voice_aligned
0x06	secondary_ms	34370	39030	그들을 항복시킬 군대를 위해\n남은 금을 모두 주겠소.	roland	scenario_2	GOOD02W.SMK	voice_aligned
0x07	secondary_ms	0	980	축하하오!	roland	scenario_3_or_4	GOOD03QW.SMK	voice_aligned
0x07	secondary_ms	980	3800	눈부신 군사적 수완이었소.	roland	scenario_3_or_4	GOOD03QW.SMK	voice_aligned
0x07	secondary_ms	3800	10030	이 비옥한 농업 지대의 재정 지원을 얻었으니,\n전쟁에 필요한 금은 충분하오.	roland	scenario_3_or_4	GOOD03QW.SMK	voice_aligned
0x07	secondary_ms	10090	12510	이제 자원을 확보해야 하오.	roland	scenario_3_or_4	GOOD03QW.SMK	voice_aligned
0x07	secondary_ms	12570	17580	아치발드는 남쪽 산악 광산\n지대 카라토르에 병력을	roland	scenario_3_or_4	GOOD03QW.SMK	voice_aligned_split
0x07	secondary_ms	17580	22370	보내고 있소. 그를 막고\n자원을 차지해야 하오.	roland	scenario_3_or_4	GOOD03QW.SMK	voice_aligned_split
0x07	secondary_ms	22610	27950	한편 드워프 왕 로클린에게서\n도움을 청하는 전갈도 왔소.	roland	scenario_3_or_4	GOOD03QW.SMK	voice_aligned
0x07	secondary_ms	28630	33180	나흘 전 아치발드의 워록들이\n드워프 마을을 습격하여	roland	scenario_3_or_4	GOOD03QW.SMK	voice_aligned_split
0x07	secondary_ms	33180	37510	남녀노소를 모두 죽였소.\n드워프의 금을 노렸지만	roland	scenario_3_or_4	GOOD03QW.SMK	voice_aligned_split
0x07	secondary_ms	37770	42020	아무것도 찾지 못하자, 다른 드워프\n영지까지 계속 공격하고 있소.	roland	scenario_3_or_4	GOOD03QW.SMK	voice_aligned
0x07	secondary_ms	42020	44790	장군, 그대의 조언이 필요하오.	roland	scenario_3_or_4	GOOD03QW.SMK	voice_aligned
0x07	secondary_ms	45130	51410	카라토르를 당장 공격할지, 드워프를\n구하러 갈지, 그대가 결정해 주시오.	roland	scenario_3_or_4	GOOD03QW.SMK	voice_aligned
0x08	secondary_ms	0	980	축하하오!	roland	scenario_3_or_4	GOOD03QW.SMK	voice_aligned
0x08	secondary_ms	980	3800	눈부신 군사적 수완이었소.	roland	scenario_3_or_4	GOOD03QW.SMK	voice_aligned
0x08	secondary_ms	3800	10030	이 비옥한 농업 지대의 재정 지원을 얻었으니,\n전쟁에 필요한 금은 충분하오.	roland	scenario_3_or_4	GOOD03QW.SMK	voice_aligned
0x08	secondary_ms	10090	12510	이제 자원을 확보해야 하오.	roland	scenario_3_or_4	GOOD03QW.SMK	voice_aligned
0x08	secondary_ms	12570	17580	아치발드는 남쪽 산악 광산\n지대 카라토르에 병력을	roland	scenario_3_or_4	GOOD03QW.SMK	voice_aligned_split
0x08	secondary_ms	17580	22370	보내고 있소. 그를 막고\n자원을 차지해야 하오.	roland	scenario_3_or_4	GOOD03QW.SMK	voice_aligned_split
0x08	secondary_ms	22610	27950	한편 드워프 왕 로클린에게서\n도움을 청하는 전갈도 왔소.	roland	scenario_3_or_4	GOOD03QW.SMK	voice_aligned
0x08	secondary_ms	28630	33180	나흘 전 아치발드의 워록들이\n드워프 마을을 습격하여	roland	scenario_3_or_4	GOOD03QW.SMK	voice_aligned_split
0x08	secondary_ms	33180	37510	남녀노소를 모두 죽였소.\n드워프의 금을 노렸지만	roland	scenario_3_or_4	GOOD03QW.SMK	voice_aligned_split
0x08	secondary_ms	37770	42020	아무것도 찾지 못하자, 다른 드워프\n영지까지 계속 공격하고 있소.	roland	scenario_3_or_4	GOOD03QW.SMK	voice_aligned
0x08	secondary_ms	42020	44790	장군, 그대의 조언이 필요하오.	roland	scenario_3_or_4	GOOD03QW.SMK	voice_aligned
0x08	secondary_ms	45130	51410	카라토르를 당장 공격할지, 드워프를\n구하러 갈지, 그대가 결정해 주시오.	roland	scenario_3_or_4	GOOD03QW.SMK	voice_aligned
0x09	secondary_ms	150	5490	로클린이 전령을 보내 워록을 막아\n준 그대에게 영원한 감사를 전했소.	roland	after_scenario_3_to_4	GOOD04W.SMK	voice_aligned
0x09	secondary_ms	5510	12250	그 보답으로 그대가 나를 섬기는 동안\n언제나 드워프들이 돕겠다고 했소.	roland	after_scenario_3_to_4	GOOD04W.SMK	voice_aligned
0x09	secondary_ms	12330	17490	이미 카라토르 산지에 병력도 보내 두었소.	roland	after_scenario_3_to_4	GOOD04W.SMK	voice_aligned
0x09	secondary_ms	17490	19530	그 병력은 그대의 명령을 기다리고 있소.	roland	after_scenario_3_to_4	GOOD04W.SMK	voice_aligned
0x0A	secondary_ms	110	4470	카라토르 광산을 점령해\n우리의 세력은 크게 강해졌소.	roland	scenario_5	GOOD05V.SMK	voice_aligned
0x0A	secondary_ms	4470	10090	그 힘을 보고 신중한 영주들도\n우리 편에 서기 시작했소.	roland	scenario_5	GOOD05V.SMK	voice_aligned
0x0A	secondary_ms	10190	13770	중립 영주 둘이 마침내 우리 편에 합류했소.	roland	scenario_5	GOOD05V.SMK	voice_aligned
0x0A	secondary_ms	13770	20790	그들의 요새는 아치발드 성으로\n보급로가 지나는 핵심 계곡에 있소.	roland	scenario_5	GOOD05V.SMK	voice_aligned
0x0A	secondary_ms	20970	27770	현지인으로 군대를 모아 계곡의\n반역 영주 둘을 공격하시오.	roland	scenario_5	GOOD05V.SMK	voice_aligned
0x0A	secondary_ms	28030	36630	그들을 물리치고 나면 대륙의 자원을\n장악하고 마침내 공세로 나설 것이오.	roland	scenario_5	GOOD05V.SMK	voice_aligned
0x0A	secondary_ms	36630	39610	장군! 아치발드 왕이다.	roland	archibald_betrayal_offer	GOOD05V.SMK	voice_aligned_combined
0x0A	secondary_ms	39630	42500	전장에서 세운 공적이 인상 깊어	roland	archibald_betrayal_offer	GOOD05V.SMK	voice_aligned_split
0x0A	secondary_ms	42500	46770	내게 합류하고 합당한 보상을\n받을 기회를 한 번 주겠다.	roland	archibald_betrayal_offer	GOOD05V.SMK	voice_aligned_split
0x0A	secondary_ms	46870	50850	내 형제는 꿈도 못 꿀\n부와 권력을 줄 수 있다.	roland	archibald_betrayal_offer	GOOD05V.SMK	voice_aligned
0x0A	secondary_ms	50870	57390	부와 권력을 택할지, 결국 내가 형제의 약한\n군대를 짓밟은 뒤 교수대에 설지 선택해라.	roland	archibald_betrayal_offer	GOOD05V.SMK	voice_aligned
0x0A	secondary_ms	57790	59650	그래, 어느 쪽을 택하겠나?	roland	archibald_betrayal_offer	GOOD05V.SMK	voice_aligned
0x0B	secondary_ms	210	4680	예언자가 전해 주었소. 그대는 나를\n배신하라는 제안을 거절했다고 하더군.	roland	scenario_6_loyal	GOOD06AV.SMK	voice_aligned
0x0B	secondary_ms	4680	7230	다시 그대에게 감사하오.	roland	scenario_6_loyal	GOOD06AV.SMK	voice_aligned
0x0B	secondary_ms	7230	12010	이 전쟁이 끝나면 그 충성에\n반드시 보답하겠소.	roland	scenario_6_loyal	GOOD06AV.SMK	voice_aligned
0x0B	secondary_ms	12490	16850	노라스턴의 여마법사들에게서\n도움을 청하는 전갈이 왔소.	roland	scenario_6_loyal	GOOD06AV.SMK	voice_aligned
0x0B	secondary_ms	16850	21150	그들이 공개적으로 내 편에\n서자 아치발드가 분노했소.	roland	scenario_6_loyal	GOOD06AV.SMK	voice_aligned
