source_text	translation_ko	review_status	notes
Alamar	알라마	policy_approved	도시 이름 축약 음역
Algary	알가리	policy_approved	도시 이름 음역
Antioch	안티옥	policy_approved	도시 이름 음역
Atlantium	아틀란튬	policy_approved	도시 이름 축약 음역
Avalon	아발론	policy_approved	도시 이름 음역
Avone	에본	policy_approved	도시 이름 축약 음역
Barrowton	배로턴	policy_approved	도시 이름 음역
Basenji	바센지	policy_approved	도시 이름 음역
Baywatch	베이워치	policy_approved	도시 이름 음역
Big Oak	빅오크	policy_approved	도시 이름 음역
Black Oak	블랙오크	policy_approved	도시 이름 음역
Black Vein	블랙베인	policy_approved	도시 이름 음역
Blackburn	블랙번	policy_approved	도시 이름 음역
Blackfang	블랙팽	policy_approved	도시 이름 음역
Blackridge	블랙리지	policy_approved	도시 이름 음역
Blacksford	블랙스포드	policy_approved	도시 이름 음역
Blackwind	블랙윈드	policy_approved	도시 이름 음역
Bloodreign	블러드레인	policy_approved	도시 이름 음역
BoneVille	본빌	policy_approved	도시 이름 음역
Borderlands	보더랜드	policy_approved	도시 이름 음역
Brindamoor	브린다무어	policy_approved	도시 이름 음역
Brownston	브론스턴	policy_approved	도시 이름 축약 음역
Burlock	벌록	policy_approved	도시 이름 음역
Burton	버턴	policy_approved	도시 이름 음역
Cathcart	캐스카트	policy_approved	도시 이름 음역
Chandler	챈들러	policy_approved	도시 이름 음역
Chilton	칠턴	policy_approved	도시 이름 음역
Chronos	크로노	policy_approved	도시 이름 축약 음역
Corackston	코랙스턴	policy_approved	도시 이름 음역
Crossroads	크로스로드	policy_approved	도시 이름 음역
Dead Pine	데드파인	policy_approved	도시 이름 음역
DirtWater	더트워터	policy_approved	도시 이름 음역
Dragadune	드래거듄	policy_approved	도시 이름 음역
Dragon Hill	드래곤힐	policy_approved	도시 이름 음역
Dragon Watch	드래곤워치	policy_approved	도시 이름 음역
Dragontooth	드래곤투스	policy_approved	도시 이름 음역
Drakoran	드라코란	policy_approved	도시 이름 음역
Dwarfhall	드워프홀	policy_approved	도시 이름 음역
Edgewood	에지우드	policy_approved	도시 이름 음역
Elk's Head	엘크헤드	policy_approved	도시 이름 음역
Elowyn	엘로윈	policy_approved	도시 이름 음역
Erliquin	얼리퀸	policy_approved	도시 이름 음역
Farlien	팔리엔	policy_approved	도시 이름 음역
Fenton	펜턴	policy_approved	도시 이름 음역
Fetid Elm	페티델름	policy_approved	도시 이름 축약 음역
Forder Oaks	포더오크	policy_approved	도시 이름 음역
Fountainhead	파운틴헤드	policy_approved	도시 이름 음역
Frozenpeak	프로즌피크	policy_approved	도시 이름 음역
Garamok	가라목	policy_approved	도시 이름 축약 음역
Glastonbury	글래스버리	policy_approved	도시 이름 축약 음역
Gorgomar	고르고말	policy_approved	도시 이름 축약 음역
Greenroot	그린루트	policy_approved	도시 이름 음역
Greywind	그레윈드	policy_approved	도시 이름 축약 음역
Gungtooth	건투스	policy_approved	도시 이름 음역
Hampshire	햄프셔	policy_approved	도시 이름 음역
Havenwood	헤븐우드	policy_approved	도시 이름 축약 음역
Hillstone	힐스톤	policy_approved	도시 이름 음역
Hilltop	힐탑	policy_approved	도시 이름 음역
Hilltown	힐타운	policy_approved	도시 이름 음역
IslandHome	아일랜드홈	policy_approved	도시 이름 음역
IvanHome	아이번홈	policy_approved	도시 이름 음역
