source_text	translation_ko	notes
"""Act of Desperation"""	절박한 행동	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"""Apocalypse"""	종말	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"""Barbarian Wars"""	야만인 전쟁	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"""Carator Mines"""	카라토르 광산	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"""Country Lords"""	지방 영주	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"""Defender"""	수호자	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"""Dragon Master"""	드래곤 마스터	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"""Greater Glory"""	더 큰 영광	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"""Our Finest Hour"""	우리의 가장 빛나는 순간	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"""Peasants!"""	농민들!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"""Slay the Dwarves"""	드워프 처단	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"""The Crown"""	왕관	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"""The Gauntlet"""	시련	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"""Turning Point"""	전환점	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
A Dragon, A Cyclops, or an Undead. King of the Centaurs, His name is ....?	드래곤, 사이클롭스, 혹은 언데드. 켄타우로스의 왕인 그의 이름은 ....?	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
A gift of gold, m'lord, from the people of Enroth, to the people of Enroth.  Good luck, and may God save true King Roland!	전하, 엔로스의 백성이 엔로스의 백성에게 드리는 골드입니다. 행운을 빕니다. 신께서 진정한 왕 롤랜드를 지켜 주시길!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"A great Black dragon stands before you. It speaks in a suprisingly soft voice, saying, ""The elves believe they have sent another hero to reclaim their prize. I believe they have sent me another meal."""	"거대한 블랙 드래곤 한 마리가 길을 막고 있다. 놀라울 만큼 부드러운 목소리로 말한다. ""엘프들은 자신들의 보물을 되찾으라고 또 다른 영웅을 보냈다고 생각하는 모양이군. 나는 저들이 내게 또 다른 식사를 보내 줬다고 생각한다."""	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
A little bit closer...	조금만 더 가까이...	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"A man appears from behind the sand dune. ""At last,"" he says, ""Someone has come to rescue me! I am forever grateful. Alas all I have to offer you in return are these souvenirs from my wrecked ship."""	"모래언덕 뒤에서 남자 하나가 나타난다. ""마침내!"" 그가 외친다. ""구해 줄 사람이 드디어 왔군요! 평생 감사하겠습니다. 안타깝게도 답례로 드릴 수 있는 건 난파된 배에서 건진 기념품뿐입니다."""	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
A shipment of wood has arrived from your kingdom!	당신의 왕국에서 목재 화물이 도착했다!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Abandon All Hope!	모든 희망을 버려라!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
After a long search of the island, I have discovered that there is no way for me to escape without help.  I can not steal a ship from one of the coastal castles, and I dare not venture into the desert unless I wish to become Dragon food.  Should anyone find this, I beg of you, please send a ship and get me off this cursed island!  -Sir Christian	섬을 오랫동안 뒤진 끝에 도움 없이는 탈출할 방법이 없다는 걸 알아냈다. 해안의 성에서 배를 훔칠 수도 없고, 드래곤 먹이가 되고 싶지 않은 이상 사막에 들어갈 엄두도 나지 않는다. 이 글을 발견하는 이가 있다면 부탁한다. 제발 배를 보내 이 저주받은 섬에서 나를 데려가 주시오! -크리스천 경	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"An old elf is sitting on a rock in a glen, pounding on the shackles on his feet with a stone. You help him remove them and ask him his tale. ""I'm a deserter from Drakonia's army. She has enslaved all the elves to support her madness. She must be stopped."" Then he slips into the woods without a sound, leaving behind just his cloak.  "	"숲속 빈터의 바위 위에 늙은 엘프가 앉아 돌로 발목의 족쇄를 두드리고 있다. 족쇄를 벗겨 준 뒤 사연을 묻는다. ""나는 드라코니아의 군대에서 탈영했소. 그녀는 자신의 광기를 위해 모든 엘프를 노예로 만들었소. 반드시 막아야 하오."" 그는 소리 하나 내지 않고 숲으로 사라지고, 망토만 남긴다."	fheroes2 ko.po 참고 번역; trailing_space_normalized; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Archibald has also sent an army to find the Crown, you must find it first or all is lost.	아치볼드도 왕관을 찾기 위해 군대를 보냈다. 그보다 먼저 찾아내지 못하면 모든 것이 끝난다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Archibald is hiding at the end of the river.	아치볼드는 강 끝에 숨어 있다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Arm of the Crusader	십자군의 팔	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Arm of the Cyclops	사이클롭스의 팔	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Arm of the Dragon	드래곤의 팔	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Arm of the Phoenix	피닉스의 팔	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Arm of the Titan	타이탄의 팔	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"As you approach the barrier, you see the old elf you helped free. This time, however, you see that he is wearing a cape of fine weave, and a wooden crown is on his head. He sees your forces, and says ""Take this sword, and with it, strike down Drakonia and help free my people."" The old elf then strides regally into the woods. "	"장벽에 가까워지자 예전에 풀어 줬던 늙은 엘프가 보인다. 이번에는 고운 천으로 짠 망토를 걸치고 머리에는 나무 왕관을 쓰고 있다. 당신의 군대를 본 그가 말한다. ""이 검을 받아라. 이것으로 드라코니아를 쓰러뜨리고 내 백성을 해방해 다오."" 늙은 엘프는 왕다운 걸음걸이로 숲속으로 사라진다."	fheroes2 ko.po 참고 번역; trailing_space_normalized; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"As you approach the tent, the leader of the nomads comes out to greet you. He says, ""It was prophecied many years ago that a great hero would come to greet us in our sacred valley, and we would prosper afterwords. Now it has come to pass, and we offer you these gifts as tokens of our thanks."""	"천막에 다가가자 유목민의 지도자가 마중 나온다. ""아주 오래전, 위대한 영웅이 우리의 성스러운 계곡을 찾아오면 그 뒤로 우리가 번영하리라는 예언이 있었습니다. 이제 그 예언이 이루어졌으니 감사의 표시로 이 선물들을 드립니다."""	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"As you approach,  you hear whispered mentions of ""the wild barbarian who passed this way months before"". One of the villagers approaches you and hands you an object, saying ""The wild one dropped this. You must be his kin. Therefore I give it to you. But beware! Many in the village will not be as friendly as I."""	"다가가자 사람들이 ""몇 달 전에 이 길을 지나간 야생 야만인"" 이야기를 속삭이는 것이 들린다. 주민 하나가 다가와 물건을 건네며 말한다. ""그 야생인이 떨어뜨린 물건입니다. 당신은 그의 혈족인 모양이니 드리겠습니다. 하지만 조심하십시오! 마을 사람 모두가 저처럼 친절하지는 않을 겁니다."""	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"As you enter the small clearing, you see a familiar figure talking to a group of halflings and soldiers. You stay awhile and listen to his speech. ""The time to throw off these chains of tyranny is now! We must strike at the heart of her empire, and destroy the evil that she has brought to our land."" As the old elf finishes speaking, he gets up from his mossy seat and once again, blends into the woods with incredible grace. "	"작은 공터에 들어서자 익숙한 인물이 하플링과 병사들에게 연설하고 있다. 잠시 머물러 듣는다. ""폭정의 사슬을 벗어던질 때는 지금이다! 그녀의 제국 심장부를 공격해 우리 땅에 가져온 악을 파괴해야 한다."" 늙은 엘프는 연설을 마친 뒤 이끼 낀 자리에서 일어나 다시 한번 놀라운 우아함으로 숲속에 녹아든다."	fheroes2 ko.po 참고 번역; trailing_space_normalized; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
