%s has found the most obelisks.	%s의 오벨리스크가 최다입니다.
%s has found the most artifacts.	%s의 유물이 가장 많습니다.
%s has the most powerful forces.	%s의 병력이 가장 강합니다.
%s earns the most gold.	%s 금 수입 최다.
The ultimate artifact may be found in the %s regions of the world.	궁극의 유물은 세계의 %s 지역에서 찾을 수 있습니다.
The ultimate artifact may be found %s.	궁극의 유물은 %s에서 찾을 수 있습니다.
The ultimate artifact is really the %s.	궁극의 유물은 사실 %s입니다.
The mirror image is destroyed!	거울상이 사라졌습니다!
Bad luck descends on the %s	%s에게 불운이 내립니다
Good luck shines on the %s	%s에게 행운이 빛납니다
%s currently has %d spell points out of a maximum of %d.  The maximum number of spell points is 10 times your knowledge.  It is occasionally possible to have more than your maximum spell points via special events.	%s의 주문 포인트는 %d/%d입니다. 최대치는 지력의 10배이며, 특수 사건으로 한계를 넘을 수도 있습니다.
%s Necromancy (+%d) allows %d percent of the creatures killed in combat to be brought back from the dead as Skeletons.	%s 강령술(+%d)은 전투에서 죽인 생물의 %d 퍼센트를 해골로 되살립니다.
The three Anduran artifacts magically combine into one.	안두란 유물 세 개가 마법처럼 하나로 합쳐집니다.
A drink at the spring is supposed to give you twice your normal spell points, but you are already at that level.	샘물은 주문 포인트를 두 배로 채워 주지만, 이미 그만큼 가득합니다.
A drink from the spring fills your blood with magic!  You have twice your normal spell points in reserve.	샘물을 마시자 피에 마력이 차오릅니다! 주문 포인트가 평소의 두 배가 됩니다.
A drink at the well is supposed to restore your spell points, but you are already at maximum.	우물은 주문 포인트를 회복시켜 주지만, 이미 최대치입니다.
A drink from the well has restored your spell points to maximum.	우물물을 마셔 주문 포인트가 최대치로 회복되었습니다.
You've found an ancient and weathered stone idol.  It is supposed to grant luck to visitors, but since the stars are already smiling upon you, it does nothing.	낡은 석상을 발견했습니다. 방문자에게 행운을 준다지만, 이미 행운이 충분해 아무 일도 없습니다.
You've found an ancient and weathered stone idol.  Kissing it is supposed to be lucky, so you do.  The stone is very cold to the touch.	낡은 석상을 발견했습니다. 입맞추면 행운이 온다기에 해 보니, 차가운 돌의 감촉이 느껴집니다.
A visit and a prayer at the temple raises the morale of your troops.	사원을 찾아 기도하자 부대의 사기가 올랐습니다.
You've found an abandoned lean-to.  Poking about, you discover some resources hidden nearby.	버려진 오두막을 뒤져 근처에 숨겨진 자원을 발견했습니다.
The entrance to the cave is dark, and a foul, sulfurous smell issues from the cave mouth.  Will you enter?	동굴 입구는 어둡고 유황 냄새가 납니다. 들어가시겠습니까?
Except for evidence of a terrible battle, the cave is empty.	끔찍한 전투 흔적만 남았고, 동굴은 비어 있습니다.
You find a powerful and grotesque Demon in the cave.  "Today," it rasps, "you will fight and surely die.  But I will give you a choice of deaths.  You may fight me, or you may fight my servants.  Do you prefer to fight my servants?"	동굴 안에서 강력하고 흉측한 악마가 말합니다. "오늘 너는 싸우다 죽는다. 다만 죽음은 고르게 해 주지. 나와 싸우겠느냐, 내 종들과 싸우겠느냐?"
Upon defeating the daemon's servants, you find a hidden cache with 2500 gold.	악마의 종들을 물리치고 숨겨진 금 2500을 찾았습니다.
The Demon screams its challenge and attacks!  After a short, desperate battle, you slay the monster and receive 1,000 experience points.	악마가 포효하며 덤벼듭니다! 치열한 전투 끝에 쓰러뜨리고 경험치 1000을 얻었습니다.
The Demon screams its challenge and attacks!  After a short, desperate battle, you slay the monster and find the %s in the back of the cave.	악마가 포효하며 덤벼듭니다! 전투 끝에 쓰러뜨리고 동굴 뒤쪽에서 %s을 발견했습니다.
The Demon screams its challenge and attacks!  After a short, desperate battle, you slay the monster and receive 1,000 experience points and 2,500 gold.	악마가 포효하며 덤벼듭니다! 쓰러뜨린 뒤 경험치 1000과 금 2500을 얻었습니다.
The Demon leaps upon you and has its claws at your throat before you can even draw your sword.  "Your life is mine," it says.  "I will sell it back to you for 2,500 gold."	악마가 순식간에 덮쳐 목에 발톱을 들이댑니다. "네 목숨은 내 것이다. 금 2500에 되팔아 주지."
Seeing that you do not have 2500 gold, the demon slashes you with its claws, and the last thing you see is a red haze.	금 2500이 없는 것을 보자 악마가 발톱을 휘두르고, 붉은 안개가 시야를 덮습니다.
The rotting hulk of a great pirate ship creaks eerily as it is pushed against the rocks.  Do you wish to search the shipwreck?	썩은 해적선 잔해가 바위에 밀려 삐걱입니다. 난파선을 수색하시겠습니까?
Upon defeating the Ghosts you spend several hours sifting through the debris and find nothing.  Such a despicable act reduces your army's morale.	유령을 물리친 뒤 잔해를 뒤졌지만 아무것도 없습니다. 비열한 행동 탓에 사기가 떨어집니다.
Upon defeating the Ghosts you sift through the debris and find something!	유령을 물리치고 잔해를 뒤져 무언가를 찾았습니다!
The rotting hulk of a great pirate ship creaks eerily as it is pushed against the rocks.  Do you wish to search the ship?	썩은 해적선이 바위에 밀려 삐걱입니다. 배를 수색하시겠습니까?
Upon defeating the Skeletons you spend several hours sifting through the debris and find nothing.  Such a despicable act reduces your army's morale.	해골을 물리친 뒤 잔해를 뒤졌지만 아무것도 없습니다. 비열한 행동 탓에 사기가 떨어집니다.
Upon defeating the Skeletons you sift through the debris and find something!	해골을 물리치고 잔해를 뒤져 무언가를 찾았습니다!
You come upon the pyramid of a great and ancient king.  You are tempted to search it for treasure, but all the old stories warn of fearful curses and undead guardians.  Will you search?	위대한 고대 왕의 피라미드를 발견했습니다. 보물을 찾고 싶지만, 전설은 저주와 언데드를 경고합니다. 수색하시겠습니까?
You come upon the pyramid of a great and ancient king.  Routine exploration reveals that the pyramid is completely empty.	고대 왕의 피라미드를 살펴보았지만 완전히 비어 있습니다.
You come upon an abandoned gold mine.  The mine appears to be haunted.  Do you wish to enter?	버려진 금광을 발견했습니다. 유령이 깃든 듯합니다. 들어가시겠습니까?
You beat the Ghosts and are able to restore the mine to production.	유령을 물리치고 광산을 다시 가동했습니다.
A magical %s barrier stands tall before you, blocking your way.  Runes on the arch read, "Speak the key and you may pass."	마법의 %s 장벽이 길을 막습니다. 아치의 룬은 "열쇠를 말하면 지나가리라"라고 적혀 있습니다.
As you speak the magic word, the glowing barrier dissolves into nothingness.	마법의 말을 외치자 빛나는 장벽이 사라집니다.
You speak, and nothing happens.	외쳤지만 아무 일도 없습니다.
The Arena guards turn you away.	투기장 입장 거부.
The mermaids silently entice you to return later and be blessed again.	인어들은 나중에 다시 와 축복을 받으라며 조용히 손짓합니다.
The magical, soothing beauty of the Mermaids reaches you and your crew.  Just for a moment, you forget your worries and bask in the beauty of the moment.  The mermaids charms bless you with increased luck for your next combat.	인어의 아름다운 마력이 당신과 선원들을 감쌉니다. 잠시 걱정을 잊고, 다음 전투에 행운의 축복을 받습니다.
