string_id	source_text	translation_ko	review_status	notes
exe.00158218	Annexation	합병	pending_user_language_review	롤랜드 두 번째 시나리오 제목
exe.0015844D	The local lords refuse to swear allegiance to Roland, and must be subdued.  They are wealthy and powerful, so be prepared for a tough fight.  Capture all enemy castles to win.	지방 영주들은 롤랜드에게 충성을 맹세하기를 거부하므로 굴복시켜야 합니다. 그들은 부유하고 강력하니 힘겨운 싸움에 대비하십시오. 모든 적의 성을 점령하면 승리합니다.	pending_user_language_review	롤랜드 두 번째 시나리오 설명
map.CAMPG02.H2C.header.name	Good 2	선편 2	pending_user_language_review	16바이트 고정 필드
map.CAMPG02.H2C.header.description	"""Annexation"""	"""합병"""	pending_user_language_review	200바이트 고정 필드
map.CAMPG02.H2C.block.000.fixed70.candidate.00	Westmoor	웨스트몰	pending_user_language_review	도시 이름 축약 음역, 원문 점유 길이에 정확히 맞춤
map.CAMPG02.H2C.block.001.fixed70.candidate.00	Willow	윌로우	pending_user_language_review	도시 이름 음역, 첫 미션과 동일 표기
map.CAMPG02.H2C.block.002.fixed70.candidate.00	Blackridge	블랙리지	pending_user_language_review	도시 이름 음역, 원문 점유 길이 안에 맞춤
map.CAMPG02.H2C.block.003.fixed70.candidate.00	Pinehurst	파인허스	pending_user_language_review	도시 이름 축약 음역, 고정 길이 때문에 끝소리 축약
map.CAMPG02.H2C.block.004.daily_event	You've received a message from Roland. "In the absence of a strong leader, the local lords have fallen to fighting. Uniting this area is critical to our cause, so we must not fail.  Leaving your castle undefended in this highly contested region will surely lead to defeat. I'm counting on you."	롤랜드에게서 전갈이 왔습니다. "강력한 지도자가 없는 틈에 지방 영주들이 서로 싸우기 시작했습니다. 이 지역을 통합하는 일은 우리의 대의에 매우 중요하므로 반드시 성공해야 합니다. 치열한 분쟁 지역에서 성을 무방비로 두면 패배할 것이 분명합니다. 그대를 믿겠습니다."	pending_user_language_review	가변 길이 일일 이벤트
exe.00158223	Save the Dwarves	드워프 구출	pending_user_language_review	롤랜드 세 번째 시나리오 제목
exe.001584FD	Your task is to defend the Dwarves against Archibald's forces.  Capture all of the enemy towns and castles to win, and be sure not to lose all of the dwarf towns at once, or the enemy will have won.	임무는 아치발드의 군대로부터 드워프들을 지키는 것입니다. 모든 적의 도시와 성을 점령하면 승리하지만, 드워프 도시를 한꺼번에 모두 잃으면 적이 승리하므로 주의하십시오.	pending_user_language_review	롤랜드 세 번째 시나리오 설명
map.CAMPG03.H2C.header.name	Good 3	선편 3	pending_user_language_review	16바이트 고정 필드
map.CAMPG03.H2C.header.description	"""Save the Dwarves"""	"""드워프 구출"""	pending_user_language_review	200바이트 고정 필드
map.CAMPG03.H2C.block.000.fixed70.candidate.00	Perenor	페레놀	pending_user_language_review	도시 이름 축약 음역, 고정 길이에 맞춤
map.CAMPG03.H2C.block.001.fixed70.candidate.00	Whiteshield	화이트실드	pending_user_language_review	도시 이름 음역, 원문 점유 길이 안에 맞춤
map.CAMPG03.H2C.block.002.fixed70.candidate.00	Stromhild	스트롬힐	pending_user_language_review	도시 이름 축약 음역, 끝소리 축약
map.CAMPG03.H2C.block.003.fixed70.candidate.00	Greywind	그레윈드	pending_user_language_review	도시 이름 축약 음역, 고정 길이에 맞춤
map.CAMPG03.H2C.block.004.fixed70.candidate.00	Stromgild	스트롬길	pending_user_language_review	도시 이름 축약 음역, 고정 길이에 맞춤
map.CAMPG03.H2C.block.005.fixed70.candidate.00	Ostoroth	오스토롯	pending_user_language_review	도시 이름 축약 음역, 고정 길이에 맞춤
map.CAMPG03.H2C.block.006.fixed70.candidate.00	Ogrehild	오거힐드	pending_user_language_review	도시 이름 음역, 원문 점유 길이에 정확히 맞춤
map.CAMPG03.H2C.block.007.sign_or_bottle	Danger, Dragons abound!	위험! 드래곤이 우글거립니다!	pending_user_language_review	표지판 문구
map.CAMPG03.H2C.block.008.sign_or_bottle	Dwarfhall, Domain of the dwarf King.	드워프 왕의 영지, 드워프홀.	pending_user_language_review	표지판 문구
map.CAMPG03.H2C.block.009.fixed70.candidate.00	Tundara	툰다라	pending_user_language_review	도시 이름 음역, 원문 점유 길이 안에 맞춤
map.CAMPG03.H2C.block.012.daily_event	Your forces are thinly spread in an effort to defend all the dwarf towns (which may not be transformed into castles). Consolidate your forces and smite the enemy before the towns fall.	드워프 도시들을 모두 지키려다 병력이 넓게 분산되어 있습니다(도시는 성으로 바꿀 수 없습니다). 병력을 한데 모아 도시들이 함락되기 전에 적을 무찌르십시오.	pending_user_language_review	가변 길이 일일 이벤트
map.CAMPG03.H2C.block.013.fixed70.candidate.00	Dwarfhall	드워프홀	pending_user_language_review	도시 이름 음역, 표지판과 동일 표기
map.CAMPG03.H2C.block.016.fixed70.candidate.00	Atlantium	아틀란튬	pending_user_language_review	도시 이름 축약 음역, 고정 길이에 맞춤
