source_text	translation_ko	review_status	notes
Dwarven alliance	드워프 동맹	translated	기본 캠페인 보너스
Sorceress guild	여마법사 길드	translated	기본 캠페인 보너스
Roland strengthened	롤랜드 강화	translated	기본 캠페인 보너스
Carry over forces	병력 계승	translated	기본 캠페인 보너스
Corlagon defeated	코라곤 격파	translated	기본 캠페인 보너스
Ultimate crown	궁극의 왕관	translated	기본 캠페인 보너스
Necromancer guild	강령술사 길드	translated	기본 캠페인 보너스
DwarfBane	드워프의 재앙	translated	기본 캠페인 보너스
Ogre alliance	오거 동맹	translated	기본 캠페인 보너스
Dragon alliance	드래곤 동맹	translated	기본 캠페인 보너스
Carator Mines	카라토르 광산	translated	기본 캠페인 제목
Turning Point	전환점	translated	기본 캠페인 제목
Defender	수호자	translated	기본 캠페인 제목
The Gauntlet	시련	translated	기본 캠페인 제목
The Crown	왕관	translated	기본 캠페인 제목
Corlagon's Defense	코라곤의 방어	translated	기본 캠페인 제목
Final Justice	최후의 심판	translated	기본 캠페인 제목
Betrayal	배신	translated	기본 캠페인 제목
Barbarian Wars	야만인 전쟁	translated	기본 캠페인 제목
Necromancers	강령술사들	translated	기본 캠페인 제목
Slay the Dwarves	드워프 토벌	translated	기본 캠페인 제목
Rebellion	반란	translated	기본 캠페인 제목
Dragon Master	드래곤 마스터	translated	기본 캠페인 제목
Country Lords	지방 영주들	translated	기본 캠페인 제목
Greater Glory	더 큰 영광	translated	기본 캠페인 제목
Apocalypse	종말	translated	기본 캠페인 제목
You will face four allied enemies in a straightforward fight for resources and treasure.  Capture all of the enemy castles for victory.	자원과 보물을 놓고 동맹을 맺은 네 적과 정면으로 싸우게 됩니다. 승리하려면 모든 적의 성을 점령하십시오.	translated	기본 캠페인 설명
Your enemies are allied against you and start close by, so be ready to come out fighting.  You will need to own all four castles in this small valley to win.	적들은 서로 동맹이며 가까운 곳에서 시작하므로 즉시 전투에 나설 준비를 하십시오. 이 작은 계곡의 성 네 곳을 모두 차지해야 승리합니다.	translated	기본 캠페인 설명
The Sorceress' guild of Noraston has requested Roland's aid against an attack from Archibald's allies.  Capture all of the enemy castles to win, and don't lose Noraston, or you'll lose the scenario.  (Hint:  There is an enemy castle on an island in the ocean.)	노라스턴 여마법사 길드는 아치발드 동맹군의 공격을 막기 위해 롤랜드에게 도움을 청했습니다. 모든 적의 성을 점령해야 승리하며, 노라스턴을 잃으면 시나리오에서도 패배합니다. (힌트: 바다의 섬에 적의 성이 하나 있습니다.)	translated	기본 캠페인 설명
Gather as large an army as possible and capture the enemy castle within 8 weeks.  You are opposed by only one enemy, but must travel a long way to get to the enemy castle.  Any troops you have in your army at the end of this scenario will be with you in the final battle.	가능한 한 큰 군대를 모아 8주 안에 적의 성을 점령하십시오. 적은 하나뿐이지만 그 성까지 먼 길을 가야 합니다. 시나리오가 끝날 때 보유한 병력은 최종 전투로 이어집니다.	translated	기본 캠페인 설명
Find the Crown before Archibald's heroes find it.  Roland will need the Crown for the final battle.	아치발드의 영웅들보다 먼저 왕관을 찾으십시오. 최종 전투에서 롤랜드에게 왕관이 필요합니다.	translated	기본 캠페인 설명
