source_text	translation_ko	notes
Murray's resort Isle!	머레이의 휴양 섬!	참고 저장소에 없는 캠페인 표지판 직접 번역
fedx	페덱스	원문 표기를 음역
"""8675309"""	"""8675309"""	숫자 암호는 원문 유지
Knight's Trail.	기사의 길.	캠페인 표지판 직접 번역
Condemned!	유죄 판결!	캠페인 표지판 직접 번역
"""Betrayal!"""	"""배신!"""	고정 헤더 설명 직접 번역
Wizardwood.  Magicians welcome!	위저드우드. 마법사 환영!	지명은 음역하고 안내문은 번역
Help!	도와줘!	캠페인 표지판 직접 번역
"""Necromancers!"""	"""강령술사들!"""	고정 헤더 설명 직접 번역
MONEY, MONEY, MONEY!	돈, 돈, 돈!	캠페인 일일 이벤트 직접 번역
Mr. Yellow's Income	노란색 진영의 수입	색상 진영 용어로 번역
 The way of magic	마법의 길	캠페인 표지판 직접 번역
Red bonus	빨간색 진영 보너스	색상 진영 용어로 번역
Red stuff	빨간색 진영 물자	색상 진영 용어로 번역
Please....	제발....	연속 표지판 조각의 말줄임표 유지
Go away!	저리 가!	캠페인 표지판 직접 번역
Being held....	붙잡혀....	연속 표지판 조각의 말줄임표 유지
Help me....	도와줘....	연속 표지판 조각의 말줄임표 유지
I am....	나는....	연속 표지판 조각의 말줄임표 유지
red stuff.	빨간색 진영 물자.	색상 진영 용어로 번역
