That spell costs %d mana.  You only have %d mana, so you can't cast the spell.	주문 포인트가 %d 필요합니다. 현재 %d입니다. 주문 불가.
Are you sure you want to dismiss this army?	이 부대를 해산하시겠습니까?
Your troops can be upgraded, but it will cost you dearly.  Do you wish to upgrade them?	부대를 승급할 수 있지만 많은 금이 필요합니다. 진행하시겠습니까?
You can't afford to upgrade your troops!	승급할 금이 모자랍니다!
This window provides information on the status of your hero or kingdom, and shows the date.  Left click here to cycle through these windows.	이 창은 영웅과 왕국 정보를 보여 줍니다. 선택하면 창을 바꿉니다.
One or more heroes may still move, are you sure you want to end your turn?	이동할 영웅이 남았습니다. 턴을 끝내시겠습니까?
Digging for artifacts requires a whole day, try again tomorrow.	유물을 파려면 하루가 필요합니다. 내일 다시 하십시오.
Searching for the Ultimate Artifact is fruitless.  Your hero could not carry it even if he found it - all his artifact slots are full.	궁극의 유물을 찾아도 소용없습니다. 유물 칸이 가득 차서 들 수 없습니다.
Try searching on clear ground.	빈 곳에서 다시 찾으십시오.
Try looking on land!!!	지상에서 찾으십시오!!!
You have no room to carry another artifact!	유물을 더 들 공간이 없습니다!
Congratulations! After spending many hours digging here, you have uncovered the 	축하합니다! 오랜 시간 뒤 발견했습니다: 
You must be standing on the entrance to a mine (sawmills and alchemists don't count) to cast this spell.	이 주문은 광산 입구에서만 됩니다. 제재소는 제외됩니다.
Enemy heroes are now fully identifiable.	이제 적 영웅 정보를 모두 알 수 있습니다.
Your hero is too tired to cast this spell today.  Try again tomorrow.	영웅이 너무 지쳐 오늘은 주문을 쓸 수 없습니다. 내일 다시 하십시오.
Game saved successfully.	게임을 저장했습니다.
Dimension Door failed!!!	차원문 실패!!!
No available town.  Spell Failed!!!	마을 없음. 주문 실패!!!
Spell Failed!!!  You must be on land for this spell to work.	주문 실패!!! 지상에 있어야 합니다.
Select town to port to.	이동할 마을 선택.
Nearest town occupied.  Spell Failed!!!	가까운 마을 점령. 주문 실패!!!
Summon Boat failed!!!	배 소환 실패!!!
Are you sure you want to restart?  (Your current game will be lost)	다시 시작하시겠습니까? 현재 게임은 사라집니다.
Are you sure you want to load a new game?  (Your current game will be lost)	새 게임을 불러오시겠습니까? 현재 게임은 사라집니다.
Are you sure you want to quit?	정말 나가시겠습니까?
The creatures are willing to join us!	생물들이 합류하려 합니다!
for a fee of %d gold.	금 %d이 필요합니다.
These weak creatures will surely flee before us.	약한 생물들은 달아날 것입니다.
I fear these creatures are in the mood for a fight.	저 생물들은 싸우려 합니다.
Recruit	모집
Available: 	가능: 
There is no room in the garrison for this army.	성에 이 부대 공간이 없습니다.
This item can't be traded.	교환 불가.
Move how many troops?	얼마나 이동합니까?
File to Save:	저장할 파일:
File to Load:	불러올 파일:
Please make a selection from the list, or press cancel.	목록에서 선택하거나 취소하십시오.
You have learned %s %s.	%s %s 습득.
'Grouped' combat formation bunches your army together in the center of your side of the battlefield.	모임 전투 진형은 아군을 전장 아군 쪽 가운데에 모읍니다.
