Move how many %s troops from %s to %s?	%s에서 %s로 %s 몇 부대 이동?
After spending hours trying to fish the chest out of the sea, you open it and find 1000 gold and the %s	바다 상자를 건져 열자 금 1000과 %s을 찾았습니다
After spending hours trying to fish the chest out of the sea, you open it and find 1500 gold pieces.	바다 상자를 건져 열자 금 1500을 찾았습니다.
You search through the flotsam, and find some wood and some gold.	표류물을 뒤져 목재와 금을 찾았습니다.
You search through the flotsam and find some wood and some gold.	표류물을 뒤져 목재와 금을 찾았습니다.
You approach the hut and observe a witch inside studying an ancient tome on %s.  As you approach, she turns and speaks.  "You already know that which I would teach you. I can help you no further."	마녀가 %s 고서를 보고 있습니다. 이미 배운 것이라 더 알려 줄 수 없다고 합니다.
An ancient and immortal witch living in a hut with bird's legs for stilts teaches you %s for her own inscrutable purposes.	오래 산 마녀가 알 수 없는 뜻으로 %s을 가르쳐 줍니다.
"Go 'way!", the witch doctor barks, "you know all I know."	주술사가 외칩니다. 이미 내가 아는 것은 모두 압니다.
An Orcish witch doctor living in the hut deepens your knowledge of magic by showing you how to cast stones, read portents, and decipher the intricacies of chicken entrails.	오크 주술사가 점과 주술로 마법 지식을 높여 줍니다.
After scouring the area, you fall upon a hidden chest, containing the ancient artifact '%s'	주변을 살펴 숨겨진 상자를 찾았습니다. 안에는 고대 유물 '%s'이 있습니다
A drink at the watering hole fills your troops with strength and lifts their spirits.  You can travel a bit further today.	물웅덩이를 마시자 힘과 사기가 오릅니다. 오늘 조금 더 이동할 수 있습니다.
A drink at the oasis fills your troops with strength and lifts their spirits.  You can travel a bit further today.	오아시스 물을 마시자 힘과 사기가 오릅니다. 오늘 조금 더 이동할 수 있습니다.
You search the ruins, but the Medusas that used to live here are gone.  Perhaps there will be more next week.	폐허를 수색했지만 메두사는 떠났습니다. 다음 주를 기다리십시오.
You've found some Medusas living in the ruins.  They are willing to join your army for a price.  Do you want to recruit Medusas?	폐허의 메두사가 돈을 받고 합류하려 합니다. 모집하시겠습니까?
You've found one of those bridges that Trolls are so fond of living under, but there are none here.  Perhaps there will be some next week.	트롤이 좋아하는 다리지만 지금은 비었습니다. 다음 주를 기다리십시오.
A few Trolls remain, cowering under the bridge.  They approach you and offer to join your forces as mercenaries.  Do you want to buy any Trolls?	다리 아래 트롤 일부가 용병으로 합류하려 합니다. 고용하시겠습니까?
Some Trolls living under a bridge are willing to join your army, but for a price.  Do you want to recruit Trolls?	다리 아래 트롤이 돈을 받고 합류하려 합니다. 모집하시겠습니까?
Some of the surviving Liches are impressed by your victory over their fellows, and offer to join you for a price.  Do you want to recruit Liches?	남은 리치들이 승리에 놀라 돈을 받고 합류하려 합니다. 모집하시겠습니까?
Some Liches living here are willing to join your army for a price.  Do you want to recruit Liches?	이곳의 리치가 돈을 받고 합류하려 합니다. 모집하시겠습니까?
Having defeated the Dragon champions, the city's leaders agree to supply some Dragons to your army for a price.  Do you wish to recruit Dragons?	용의 투사를 물리치자 도시가 돈을 받고 용을 보내려 합니다. 모집하시겠습니까?
The Dragon city is willing to offer some Dragons for your army for a price.  Do you wish to recruit Dragons?	용의 도시가 돈을 받고 용을 보내려 합니다. 모집하시겠습니까?
Upon your approach, the tree opens its eyes in delight.  "It is good to see you, my student.  I hope my teachings have helped you."	지식의 나무가 눈을 뜨고 말합니다. 배움이 도움이 되었기를 바랍니다.
Upon your approach, the tree opens its eyes in delight.  "Ahh, an adventurer!  Allow me to teach you a little of what I have learned over the ages."	지식의 나무가 눈을 뜹니다. 오래 배운 것을 조금 알려 줍니다.
Upon your approach, the tree opens its eyes in delight.  "Ahh, an adventurer! I will be happy to teach you a little of what I have learned over the ages for a mere 2000 gold."  (Just bury it around my roots.)	지식의 나무가 금 2000을 주면 오래 배운 것을 알려 주겠다고 합니다.
Tears brim in the eyes of the tree.  "I need 2000 gold." it whispers. (sniff)  "Well, come back when you can pay me."	나무가 눈물을 보입니다. 금 2000이 부족합니다. 나중에 오십시오.
Ahh, an adventurer! I will be happy to teach you a little of what I have learned over the ages for a mere 10 gems."  (Just bury it around my roots.)	지식의 나무가 보석 10개를 주면 오래 배운 것을 알려 주겠다고 합니다.
Tears brim in the eyes of the tree.  "I need 10 gems." it whispers. (sniff)  "Well, come back when you can pay me."	나무가 눈물을 보입니다. 보석 10개가 부족합니다. 나중에 오십시오.
You come across a small shrine attended by a group of novice acolytes.  In exchange for your protection, they agree to teach you a simple spell - 	작은 사원입니다. 보호해 주면 낮은 주문을 알려 줍니다 - 
You come across an ornate shrine attended by a group of rotund friars.  In exchange for your protection, they agree to teach you a spell - 	화려한 사원입니다. 보호해 주면 주문을 알려 줍니다 - 
You come across a lavish shrine attended by a group of high priests.  In exchange for your protection, they agree to teach you a sophisticated spell - 	큰 사원입니다. 보호해 주면 높은 주문을 알려 줍니다 - 
Unfortunately, you have no Magic Book to record the spell with.	마법서가 없어 주문을 기록할 수 없습니다.
You come upon an ancient artifact.  As you reach for it, a pack of Rogues leap out of the brush to guard their stolen loot.	고대 유물을 잡으려 하자 도적 무리가 뛰쳐나와 지키려 합니다.
Through a clearing you observe an ancient artifact.  Unfortunately, it's guarded by a nearby %s.  Do you want to fight the %s for the artifact?	공터에 고대 유물이 보입니다. 근처의 %s이 지킵니다. %s와 싸우시겠습니까?
A leprechaun offers you the %s for the small price of 2000 gold.  Do you wish to buy this artifact?	요정이 금 2000에 %s을 팔겠다고 합니다. 사시겠습니까?
A leprechaun offers you the %s for the small price of 2500 gold and 3 %s.  Do you wish to buy this artifact?	요정이 금 2500과 %s 3개에 %s을 팔겠다고 합니다. 사시겠습니까?
A leprechaun offers you the %s for the small price of 3000 gold and 5 %s.  Do you wish to buy this artifact?	요정이 금 3000과 %s 5개에 %s을 팔겠다고 합니다. 사시겠습니까?
